Case ID,Activity,Complete Timestamp,Resource
0,Assign seriousness,2012-10-09 14:50:17,Value 1
0,Take in charge ticket,2012-10-09 14:51:01,Value 1
0,Take in charge ticket,2012-10-12 15:02:56,Value 2
0,Resolve ticket,2012-10-25 11:54:26,Value 1
0,Closed,2012-11-09 12:54:39,Value 3
1111,Assign seriousness,2012-04-03 08:55:38,Value 4
1111,Take in charge ticket,2012-04-03 08:55:53,Value 4
1111,Resolve ticket,2012-04-05 09:15:52,Value 4
1111,Closed,2012-05-19 09:00:28,Value 5
2222,Assign seriousness,2010-10-29 10:14:06,Value 6
2222,Take in charge ticket,2010-11-03 16:16:11,Value 7
2222,Resolve ticket,2010-11-03 16:21:17,Value 7
2222,Closed,2010-11-30 11:20:18,Value 5
3333,Assign seriousness,2010-12-15 14:31:53,Value 8
3333,Take in charge ticket,2010-12-16 08:01:07,Value 2
3333,Resolve ticket,2010-12-16 08:08:19,Value 2
3333,Closed,2011-02-12 14:40:42,Value 5
4025,Assign seriousness,2012-04-03 13:08:32,Value 9
4025,Take in charge ticket,2012-04-03 13:45:33,Value 10
4025,Resolve ticket,2012-04-03 13:47:22,Value 10
4025,Take in charge ticket,2012-04-03 14:15:02,Value 10
4025,Resolve ticket,2012-04-03 16:07:28,Value 10
4025,Closed,2012-05-25 13:10:28,Value 5
4136,Assign seriousness,2011-10-25 15:13:58,Value 2
4136,Take in charge ticket,2011-10-25 15:58:55,Value 2
4136,Resolve ticket,2011-10-26 09:54:46,Value 2
4136,Closed,2011-12-10 16:20:56,Value 5
4247,Assign seriousness,2013-11-06 10:47:35,Value 1
4247,Assign seriousness,2013-11-06 10:48:53,Value 1
4247,Assign seriousness,2013-11-22 08:00:08,Value 2
4247,Take in charge ticket,2013-11-25 08:18:07,Value 11
4247,Resolve ticket,2013-11-25 08:57:19,Value 11
4247,Closed,2013-12-10 08:57:37,Value 3
4358,Assign seriousness,2012-07-05 08:30:32,Value 1
4358,Take in charge ticket,2012-07-05 09:25:45,Value 6
4358,Resolve ticket,2012-07-05 09:44:46,Value 6
4358,Closed,2012-09-02 08:40:27,Value 5
4469,Insert ticket,2010-05-07 13:02:21,Value 12
4469,Assign seriousness,2010-05-07 13:02:34,Value 12
