CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
519,2,ª¢,ª¢,1.0,1.0,1.0,3652100,9842412.7479071915,,6190312.7479071915
525,2,¨ª¢,ª¢,0.6666666666666667,0.6666666666666667,0.6666666666666666,3189787,9368580.0576114003,,6178793.0576114003
532,2,¬®¬®ª¢,¬ª¢,0.5,0.5,0.75,4994198,10047993.010666171,,5053795.0106661711
539,2,®ª¢,ª¢,0.6666666666666667,0.6666666666666667,0.6666666666666666,2161624,8945718.0599253457,,6784094.0599253457
542,2,ª¢,ª¢,1.0,1.0,1.0,1298273,4233290.1456875885,,2935017.1456875885
551,2,¨¨ª¢,ª¢,0.5,0.5,0.6666666666666666,1473315,4785081.5385871036,,3311766.5385871036
558,2,ª¢,¢,0.5,0.5,0.5,1296017,3730966.8346560579,,2434949.8346560579
559,2,ª¢,¢,0.5,0.5,0.5,1296015,5285868.387865549,,3989853.387865549
564,2,®¬ªª¢,¬ª¢,0.6,0.6,0.75,3539513,11010518.032179538,,7471005.0321795382
565,2,®ª¢,ª¢,0.6666666666666667,0.6666666666666667,0.6666666666666666,2688426,9895114.9603394791,,7206688.9603394791
567,2,®ª¢,ª¢,0.6666666666666667,0.6666666666666667,0.6666666666666666,1316184,4520794.1269541271,,3204610.1269541271
569,2,®ª¢,ª¢,0.6666666666666667,0.6666666666666667,0.6666666666666666,3032571,9972492.0538569689,,6939921.0538569689
578,2,ª¢,¢,0.5,0.5,0.5,1296014,4328584.0959166121,,3032570.0959166121
596,2,¡ª¢,¬ª¢,0.6666666666666667,0.6666666666666667,0.5,4147752,10094620.396143258,,5946868.3961432576
605,2,®ª¢,ª¢,0.6666666666666667,0.6666666666666667,0.6666666666666666,1820712,5722068.9547525616,,3901356.9547525616
616,2,ª¢,ª¢,1.0,1.0,1.0,1293232,5164318.6896134056,,3871086.6896134056
626,2,®ª¢,ª¢,0.6666666666666667,0.6666666666666667,0.6666666666666666,3523870,9834899.5177072249,,6311029.5177072249
635,2,ª¢,ª¢,1.0,1.0,1.0,3686469,9846331.452521285,,6159862.452521285
639,2,ª¢,ª¢,1.0,1.0,1.0,2241958,9308345.5539300125,,7066387.5539300125
642,2,¡¬ª¢,¬ª¢,0.75,0.75,0.75,2668520,10112940.041061567,,7444420.0410615671
646,2,®ª¢,ª¢,0.6666666666666667,0.6666666666666667,0.6666666666666666,3259210,9779219.0163478907,,6520009.0163478907
653,2,®ª¢,ª¢,0.6666666666666667,0.6666666666666667,0.6666666666666666,3444356,9784084.8433144633,,6339728.8433144633
672,2,ª¢,¢,0.5,0.5,0.5,1296023,4105724.5685396013,,2809701.5685396013
673,2,®ª¢,ª¢,0.6666666666666667,0.6666666666666667,0.6666666666666666,2961979,5366895.778186745,,2404916.778186745
674,2,¬®ª¢,ª¢,0.5,0.5,0.5,2167730,9016288.7351833135,,6848558.7351833135
678,2,®ª¢,ª¢,0.6666666666666667,0.6666666666666667,0.6666666666666666,1901513,6200846.7165617878,,4299333.7165617878
680,2,ª¢,ª¢,1.0,1.0,1.0,3566768,5687503.0834827544,,2120735.0834827544
