CaseID,ActivityID,CompleteTimestamp
2222,Assign seriousness,2010-10-29 10:14:06
2222,Take in charge ticket,2010-11-03 16:16:11
2222,Resolve ticket,2010-11-03 16:21:17
2222,Closed,2010-11-30 11:20:18
3333,Assign seriousness,2010-12-15 14:31:53
3333,Take in charge ticket,2010-12-16 08:01:07
3333,Resolve ticket,2010-12-16 08:08:19
3333,Closed,2011-02-12 14:40:42
4136,Assign seriousness,2011-10-25 15:13:58
4136,Take in charge ticket,2011-10-25 15:58:55
4136,Resolve ticket,2011-10-26 09:54:46
4136,Closed,2011-12-10 16:20:56
4469,Insert ticket,2010-05-07 13:02:21
4469,Assign seriousness,2010-05-07 13:02:34
4469,Take in charge ticket,2010-05-24 10:26:28
4469,Resolve ticket,2010-05-25 15:35:44
4469,Closed,2010-06-09 15:35:56
1,Assign seriousness,2010-02-10 08:50:20
1,Take in charge ticket,2010-03-19 08:47:06
1,Resolve ticket,2010-03-19 08:47:13
1,Closed,2010-04-03 07:47:38
112,Assign seriousness,2011-12-21 15:24:41
112,Take in charge ticket,2011-12-21 15:25:34
112,Resolve ticket,2011-12-22 09:55:43
112,Closed,2012-01-21 15:30:31
445,Assign seriousness,2011-07-05 13:47:08
445,Take in charge ticket,2011-07-05 13:47:22
445,Resolve ticket,2011-07-05 13:52:37
445,Closed,2011-08-05 13:50:21
778,Assign seriousness,2011-10-14 07:10:47
778,Take in charge ticket,2011-11-02 16:17:52
778,Resolve ticket,2011-11-09 13:31:37
778,Closed,2011-11-24 15:57:55
1000,Assign seriousness,2010-07-07 07:54:04
1000,Take in charge ticket,2010-07-09 10:10:52
1000,Resolve ticket,2010-07-09 10:11:18
1000,Closed,2010-08-07 08:00:22
1223,Assign seriousness,2011-01-14 15:15:21
1223,Take in charge ticket,2011-01-27 08:06:37
1223,Resolve ticket,2011-01-27 10:19:15
1223,Closed,2011-02-26 10:19:37
1556,Assign seriousness,2010-04-27 09:49:56
1556,Take in charge ticket,2010-06-08 11:06:56
1556,Resolve ticket,2010-06-08 14:46:16
1556,Closed,2010-06-23 14:46:28
1667,Assign seriousness,2010-12-30 09:27:17
1667,Take in charge ticket,2010-12-30 13:14:04
1667,Resolve ticket,2010-12-30 15:16:35
1667,Closed,2011-02-16 09:30:28
1778,Assign seriousness,2011-03-31 07:28:47
1778,Take in charge ticket,2011-03-31 07:31:59
1778,Wait,2011-03-31 08:39:41
1778,Take in charge ticket,2011-03-31 11:00:28
1778,Resolve ticket,2011-03-31 11:00:41
1778,Closed,2011-05-05 09:50:46
1889,Assign seriousness,2011-11-24 14:02:16
1889,Take in charge ticket,2011-11-24 14:02:35
1889,Resolve ticket,2011-12-12 09:04:47
1889,Closed,2011-12-27 09:05:04
2223,Assign seriousness,2011-01-21 09:47:20
2223,Take in charge ticket,2011-02-07 09:19:45
2223,Resolve ticket,2011-02-10 09:01:20
2223,Closed,2011-02-25 09:01:35
2445,Assign seriousness,2011-04-27 07:38:44
2445,Take in charge ticket,2011-04-27 12:46:13
2445,Resolve ticket,2011-04-28 08:18:08
2445,Closed,2011-06-04 07:40:30
2778,Assign seriousness,2012-01-18 08:15:30
2778,Resolve ticket,2012-01-18 09:46:37
2778,Closed,2012-03-10 08:20:43
2889,Assign seriousness,2011-06-29 10:06:48
2889,Take in charge ticket,2011-06-30 12:58:23
2889,Resolve ticket,2011-07-05 07:32:43
2889,Closed,2011-07-30 10:10:20
3000,Assign seriousness,2011-02-10 11:13:07
3000,Take in charge ticket,2011-02-10 11:13:33
3000,Resolve ticket,2011-02-10 15:20:02
3000,Resolve ticket,2011-03-02 13:23:58
3000,Take in charge ticket,2011-03-02 13:24:07
3000,Wait,2011-03-02 15:27:52
3000,Take in charge ticket,2011-03-04 09:37:50
3000,Resolve ticket,2011-03-04 09:37:55
3000,Closed,2011-04-03 08:38:21
3445,Assign seriousness,2010-12-14 10:44:26
3445,Take in charge ticket,2010-12-14 10:44:57
3445,Resolve ticket,2010-12-14 10:45:12
3445,Closed,2011-01-27 10:50:31
3556,Assign seriousness,2011-06-16 12:23:39
3556,Take in charge ticket,2011-06-16 12:51:05
3556,Resolve ticket,2011-06-16 13:39:51
3556,Closed,2011-07-30 12:30:33
3778,Assign seriousness,2010-11-29 16:09:19
3778,Take in charge ticket,2010-11-29 16:19:59
3778,Resolve ticket,2010-11-29 16:20:51
3778,Closed,2010-12-31 16:10:28
3889,Assign seriousness,2012-01-20 14:08:14
3889,Take in charge ticket,2012-01-25 11:46:19
3889,Resolve ticket,2012-03-02 10:40:59
3889,Closed,2012-03-17 10:41:18
3992,Assign seriousness,2011-05-25 09:48:18
3992,Take in charge ticket,2011-05-25 09:48:43
3992,Resolve ticket,2011-05-30 15:04:34
3992,Closed,2011-07-01 09:50:37
4003,Insert ticket,2010-12-01 13:42:59
4003,Assign seriousness,2010-12-02 14:07:33
4003,Take in charge ticket,2010-12-02 14:07:41
4003,Resolve ticket,2010-12-02 14:08:33
4003,Closed,2011-01-01 14:08:51
4014,Assign seriousness,2011-11-25 14:33:54
4014,Take in charge ticket,2011-11-25 14:47:48
4014,Wait,2011-11-29 14:47:35
4014,Resolve ticket,2011-12-02 16:25:57
4014,Closed,2012-01-07 16:20:26
4026,Assign seriousness,2012-01-16 10:53:01
4026,Take in charge ticket,2012-01-16 10:59:51
4026,Resolve ticket,2012-01-16 16:37:54
4026,Resolve ticket,2012-01-16 16:37:55
4026,Closed,2012-02-16 11:00:57
4059,Assign seriousness,2010-10-14 13:53:13
4059,Take in charge ticket,2010-10-15 13:02:36
4059,Wait,2010-10-28 15:12:55
4059,Wait,2010-10-28 15:12:55
4059,Take in charge ticket,2010-10-29 13:42:01
4059,Resolve ticket,2010-11-04 08:48:12
4059,Closed,2010-12-04 08:48:57
4081,Assign seriousness,2011-10-26 15:51:42
4081,Take in charge ticket,2011-10-31 15:19:03
4081,Wait,2011-11-07 08:44:52
4081,Resolve ticket,2011-11-21 08:21:23
4081,Closed,2011-12-06 08:21:36
4092,Assign seriousness,2012-01-30 11:32:58
4092,Resolve ticket,2012-01-30 11:33:23
4092,Closed,2012-03-14 11:40:25
4103,Assign seriousness,2010-10-29 09:39:23
4103,Take in charge ticket,2010-11-02 14:56:13
4103,Resolve ticket,2010-11-02 15:39:05
