CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
1497,2,§,,0.0,0.0,0.0,0,0,,0.0
1500,2,§,,0.0,0.0,0.0,0,0,,0.0
1505,2,§,§,1.0,1.0,1.0,874,35174.241542236625,,34300.241542236625
1521,2,§,§,1.0,1.0,1.0,12875,25748.865434973799,,12873.865434973799
1526,2,ª§,§,0.5,0.5,0.5,519921,37297.244037475284,,482623.75596252474
1536,2,§,§,1.0,1.0,1.0,617193,37688.928621147934,,579504.07137885201
1537,2,ª§,§,0.5,0.5,0.5,275037,31936.389596252844,,243100.61040374715
1548,2,§,§,1.0,1.0,1.0,15515,32785.644995824456,,17270.644995824456
1552,2,§,§,1.0,1.0,1.0,260654,28943.809727796262,,231710.19027220373
1555,2,§,§,1.0,1.0,1.0,4663,30196.660612013184,,25533.660612013184
1559,2,§§,§,0.5,0.5,1.0,22876,28703.971753275611,,5827.9717532756113
1566,2,§,§,1.0,1.0,1.0,15701,28554.119864915778,,12853.119864915778
1587,2,ª§,§,0.5,0.5,0.5,2148341,35445.012800557102,,2112895.9871994429
1591,2,§,§,1.0,1.0,1.0,5828,25796.868693067849,,19968.868693067849
1592,2,ª§,§,0.5,0.5,0.5,1804649,26011.612475562124,,1778637.3875244379
1619,2,§,,0.0,0.0,0.0,0,0,,0.0
1630,2,§,§,1.0,1.0,1.0,23520,14457.520206912761,,9062.4797930872392
1649,2,§,§,1.0,1.0,1.0,3972,27526.333932140511,,23554.333932140511
1660,2,§,§,1.0,1.0,1.0,357038,29507.421109928793,,327530.57889007119
1682,2,§,§,1.0,1.0,1.0,1374323,27101.654853182787,,1347221.3451468172
1683,2,§,§,1.0,1.0,1.0,64234,26862.889796663985,,37371.110203336015
1689,2,ª§,§,0.5,0.5,0.5,1920389,32698.581477854594,,1887690.4185221454
1690,2,ª§,§,0.5,0.5,0.5,59138,26075.16548892243,,33062.83451107757
1696,2,§,§,1.0,1.0,1.0,68746,25189.036466585818,,43556.963533414179
1698,2,§,§,1.0,1.0,1.0,297,25833.006384752705,,25536.006384752705
1708,2,§,§,1.0,1.0,1.0,5033,27065.628986754462,,22032.628986754462
1722,2,§,§,1.0,1.0,1.0,409057,35710.093060011422,,373346.90693998861
1737,2,ª§,§,0.5,0.5,0.5,875283,36948.503374614709,,838334.49662538525
1739,2,§,§,1.0,1.0,1.0,689078,28198.600173666055,,660879.39982633397
1741,2,§,§,1.0,1.0,1.0,5475,32727.562353121473,,27252.562353121473
1742,2,§,§,1.0,1.0,1.0,268879,34916.562905842955,,233962.43709415704
1750,2,ª§,§,0.5,0.5,0.5,713119,25748.708275153807,,687370.29172484623
