CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,§,§,1.0,1.0,1.0,256462,78048.854873707736,,178413.14512629225
3088,2,©ª©§,©§,0.5,0.5,0.6666666666666666,1888363,74860.592895539041,,1813502.407104461
3089,2,ª§,§,0.5,0.5,0.5,520705,68371.436727441236,,452333.56327255873
3090,2,§,§,1.0,1.0,1.0,1800,55822.853740572617,,54022.853740572617
3091,2,§§,§,0.5,0.5,1.0,511776,48429.662908724218,,463346.33709127578
3092,2,§,§,1.0,1.0,1.0,8322,48928.216169989624,,40606.216169989624
3093,2,§,§,1.0,1.0,1.0,63707,56140.540227464138,,7566.4597725358617
3094,2,§,§,1.0,1.0,1.0,1200770,54195.179707985357,,1146574.8202920146
3095,2,§,§,1.0,1.0,1.0,355,51764.684958024867,,51409.684958024867
3096,2,§,§,1.0,1.0,1.0,2073582,69515.076648286718,,2004066.9233517132
3098,2,§,§,1.0,1.0,1.0,1834,52050.056968083198,,50216.056968083198
3099,2,ª§,§,0.5,0.5,0.5,967517,69090.944606394725,,898426.05539360526
3100,2,ª©§,§,0.33333333333333337,0.33333333333333337,0.33333333333333326,3024662,50419.566147953054,,2974242.4338520467
3101,2,§,§,1.0,1.0,1.0,3060,56874.42218533819,,53814.42218533819
3102,2,ª§,§,0.5,0.5,0.5,14445,73605.076338990766,,59160.076338990766
3104,2,§,§,1.0,1.0,1.0,603250,48350.378801843828,,554899.62119815615
3105,2,ª§,§,0.5,0.5,0.5,795902,47311.482878717004,,748590.51712128299
3106,2,§§,§,0.5,0.5,1.0,1468100,54144.169257181893,,1413955.8307428181
3107,2,§,§,1.0,1.0,1.0,101552,48417.924279092702,,53134.075720907298
3109,2,§,§,1.0,1.0,1.0,9496,54801.036858652711,,45305.036858652711
3110,2,ª§,§,0.5,0.5,0.5,1187727,51378.162469978015,,1136348.837530022
3111,2,§,§,1.0,1.0,1.0,422936,50675.46464715492,,372260.53535284509
3114,2,©ª©§,§,0.25,0.25,0.33333333333333326,933457,53526.748770528393,,879930.25122947164
3115,2,ª§,§,0.5,0.5,0.5,3570313,56529.595406456203,,3513783.4045935436
